customer_id,first_name,last_name,email,phone,date_of_birth,country,kyc_status,created_date,last_updated
CUST000001,Patricia,Wilson,patricia.wilson@gmail.com,+1-864-951-2622,2005-07-09,Canada,PENDING,2026-12-10,2026-01-22
CUST000002,Barbara,Rodriguez,barbara.rodriguez@yahoo.com,+1-892-241-2971,1950-02-28,UK,EXPIRED,2026-06-08,2026-01-22
CUST000003,David,Wilson,david.wilson@outlook.com,+1-359-487-2166,2004-06-14,Australia,EXPIRED,2025-05-13,2026-01-22
CUST000004,Mary,Jones,mary.jones@yahoo.com,+1-212-280-5566,1966-06-11,Australia,VERIFIED,2026-08-16,2026-01-22
CUST000005,Lisa,Garcia,lisa.garcia@yahoo.com,+1-974-729-7967,1958-10-23,Italy,NOT_STARTED,2026-06-21,2026-01-22
CUST000006,Charles,Thomas,charles.thomas@yahoo.com,+1-753-757-5481,2005-10-19,Canada,EXPIRED,2026-09-07,2026-01-22
CUST000007,Michael,Taylor,michael.taylor@company.com,+1-602-632-2639,1944-12-24,UK,PENDING,2027-01-03,2026-01-22
CUST000008,David,Hernandez,david.hernandez@yahoo.com,+1-697-392-8260,1992-08-19,India,PENDING,2026-11-13,2026-01-22
CUST000009,Richard,Hernandez,richard.hernandez@outlook.com,+1-762-881-8406,1932-03-13,Spain,EXPIRED,2026-07-03,2026-01-22
CUST000010,Richard,Davis,richard.davis@gmail.com,+1-200-598-3486,1983-12-12,Italy,NOT_STARTED,2025-04-11,2026-01-22
CUST000011,Michael,Anderson,michael.anderson@company.com,+1-545-585-1829,1935-10-24,Spain,EXPIRED,2025-10-12,2026-01-22
CUST000012,Barbara,Taylor,barbara.taylor@company.com,+1-333-851-5865,1939-06-06,Canada,REJECTED,2026-10-11,2026-01-22
CUST000013,Barbara,Lopez,barbara.lopez@yahoo.com,+1-796-218-2722,1971-04-04,Italy,PENDING,2026-09-29,2026-01-22
CUST000014,Richard,Smith,richard.smith@outlook.com,+1-423-478-8318,2000-10-17,Australia,VERIFIED,2026-08-12,2026-01-22
CUST000015,James,Moore,james.moore@yahoo.com,+1-555-876-7203,1990-08-19,UK,REJECTED,2025-08-08,2026-01-22
CUST000016,Jennifer,Lopez,jennifer.lopez@gmail.com,+1-348-533-3657,1998-01-29,Germany,EXPIRED,2025-02-17,2026-01-22
CUST000017,David,Lopez,david.lopez@yahoo.com,+1-600-915-6125,1947-07-06,Germany,REJECTED,2025-02-04,2026-01-22
CUST000018,David,Smith,david.smith@yahoo.com,+1-624-306-5689,1982-05-09,Australia,VERIFIED,2025-08-12,2026-01-22
CUST000019,Richard,Rodriguez,richard.rodriguez@gmail.com,+1-208-439-2766,1986-01-13,USA,VERIFIED,2026-12-03,2026-01-22
CUST000020,Thomas,Johnson,thomas.johnson@company.com,+1-505-224-3538,1983-09-27,Italy,EXPIRED,2026-02-23,2026-01-22
CUST000021,David,Hernandez,david.hernandez@gmail.com,+1-907-251-4610,1954-08-01,Japan,REJECTED,2026-03-03,2026-01-22
CUST000022,Lisa,Brown,lisa.brown@outlook.com,+1-867-637-6544,1976-03-13,USA,NOT_STARTED,2025-05-27,2026-01-22
CUST000023,William,Thomas,william.thomas@yahoo.com,+1-903-212-6237,1987-09-06,UK,VERIFIED,2025-12-22,2026-01-22
CUST000024,David,Wilson,david.wilson@company.com,+1-216-272-2877,1965-02-14,Spain,VERIFIED,2025-10-12,2026-01-22
CUST000025,Lisa,Gonzalez,lisa.gonzalez@company.com,+1-432-296-5112,1988-07-11,Italy,PENDING,2026-05-22,2026-01-22
CUST000026,Charles,Smith,charles.smith@company.com,+1-955-393-3927,1951-10-25,Japan,NOT_STARTED,2025-10-17,2026-01-22
CUST000027,Barbara,Martinez,barbara.martinez@company.com,+1-284-792-3691,1943-01-12,Germany,REJECTED,2026-11-30,2026-01-22
