customer_id,first_name,last_name,email,phone,date_of_birth,country,kyc_status,created_date,last_updated
CUST000001,David,Miller,david.miller@company.com,+1-774-361-6379,1991-11-06,Germany,VERIFIED,2025-09-26,2026-01-22
CUST000002,Emma,Moore,emma.moore@gmail.com,+1-410-362-9010,1973-12-10,India,VERIFIED,2025-05-23,2026-01-22
CUST000003,Thomas,Brown,thomas.brown@gmail.com,+1-838-244-2946,1961-06-14,India,VERIFIED,2025-02-11,2026-01-22
CUST000004,Thomas,Miller,thomas.miller@outlook.com,+1-410-535-9591,1995-11-30,India,PENDING,2026-10-08,2026-01-22
CUST000005,Richard,Johnson,,ABC-DEF-GHIJ,2002-07-11,Germany,VERIFIED,2026-04-22,2026-01-22
CUST000006,David,Lopez,david.lopez@outlook.com,+1-971-419-1976,1989-12-14,Italy,PENDING,2026-12-16,2026-01-22
CUST000007,Sarah,Moore,sarah.moore@yahoo.com,+1-219-960-9701,1957-03-08,Canada,REJECTED,2025-05-30,2026-01-22
CUST000008,Robert,Gonzalez,,+1-775-552-1992,1985-06-29,,NOT_STARTED,2025-06-21,2026-01-22
CUST000009,Mary,Thomas,mary.thomas@gmail.com,+1-433-819-1417,1994-01-25,Italy,VERIFIED,2025-09-04,2026-01-22
CUST000010,Sarah,Rodriguez,sarah.rodriguez@gmail.com,+1-692-390-2650,1952-10-07,UK,REJECTED,2025-09-15,2026-01-22
CUST000011,Lisa,Williams,lisa.williams@yahoo.com,+1-646-835-7590,1948-08-30,Australia,NOT_STARTED,2025-07-22,2026-01-22
CUST000012,Richard,Miller,richard.miller@yahoo.com,+1-981-338-8312,1942-04-14,Japan,REJECTED,2026-12-20,2026-01-22
CUST000013,Charles,Thomas,charles.thomas@company.com,+1-809-686-4102,1989-05-26,USA,VERIFIED,2026-11-10,2026-01-22
CUST000014,Lisa,Gonzalez,lisa.gonzalez@outlook.com,+1-997-885-8563,1934-11-28,India,VERIFIED,2026-04-09,2026-01-22
CUST000015,Charles,Lopez,charles.lopez@yahoo.com,+1-816-472-8984,1944-11-08,UK,VERIFIED,2026-11-05,2026-01-22
CUST000016,Lisa,Davis,lisa.davis@yahoo.com,+1-600-313-3863,1997-01-24,Japan,PENDING,2025-03-22,2026-01-22
CUST000017,Richard,Brown,richard.brown@company.com,+1-390-948-9697,1943-03-19,USA,VERIFIED,2025-04-23,2026-01-22
CUST000018,Jane,Jones,jane.jones@yahoo.com,+1-475-615-7692,1933-08-11,India,REJECTED,2026-12-13,2026-01-22
CUST000019,Sarah,Anderson,sarah.anderson@yahoo.com,+1-487-438-8625,1941-12-30,Germany,REJECTED,2026-08-14,2026-01-22
CUST000020,Jane,Williams,jane.williams@company.com,+1-683-906-9039,1962-06-05,USA,PENDING,2026-03-29,2026-01-22
CUST000021,Michael,Miller,michael.miller@outlook.com,+1-472-978-3188,1944-07-04,Japan,VERIFIED,2026-10-15,2026-01-22
CUST000022,Thomas,Hernandez,thomas.hernandez@gmail.com,+1-470-381-5823,1953-08-06,Italy,NOT_STARTED,2026-02-26,2026-01-22
CUST000023,Robert,Hernandez,robert.hernandez@company.com,+1-594-693-6009,1964-03-04,India,VERIFIED,2026-01-20,2026-01-22
CUST000024,Robert,Johnson,robert.johnson@outlook.com,+1-908-421-1812,2005-12-17,India,REJECTED,2025-03-21,2026-01-22
CUST000025,David,Thomas,david.thomas@yahoo.com,+1-527-394-6041,1957-01-22,Japan,VERIFIED,2026-11-04,2026-01-22
CUST000026,Thomas,Williams,thomas.williams@yahoo.com,+1-777-731-5001,1959-06-25,Italy,NOT_STARTED,2025-04-13,2026-01-22
CUST000027,,Williams,richard.williams@outlook.com,+1-945-670-4247,1939-03-02,USA,EXPIRED,2025-05-16,2026-01-22
CUST000028,Barbara,Lopez,barbara.lopez@outlook.com,+1-459-801-2791,1989-04-16,USA,REJECTED,2025-12-25,2026-01-22
CUST000029,Thomas,Miller,thomas.miller@yahoo.com,+1-667-710-7000,1987-02-26,Australia,EXPIRED,2025-10-06,2026-01-22
CUST000030,Lisa,Lopez,lisa.lopez@company.com,+1-658-893-4235,1990-07-27,Japan,PENDING,2026-09-02,2026-01-22
CUST000031,Richard,Johnson,richard.johnson@company.com,+1-879-736-9091,1964-06-14,Germany,NOT_STARTED,2025-09-12,2026-01-22
CUST000032,Barbara,Smith,barbara.smith@yahoo.com,+1-763-942-2023,2009-06-05,Spain,VERIFIED,2025-06-08,2026-01-22
CUST000033,David,Davis,david.davis@gmail.com,+1-655-844-4112,1936-08-16,Canada,REJECTED,2026-10-19,2026-01-22
CUST000034,Mary,Williams,mary.williams@gmail.com,+1-748-413-4642,1976-06-08,India,REJECTED,2026-09-24,2026-01-22
CUST000035,Robert,Miller,robert.miller@yahoo.com,+1-639-244-2833,1930-05-12,India,VERIFIED,2026-08-29,2026-01-22
CUST000036,,Rodriguez,charles@,+1-793-806-6754,1993-02-22,Germany,VERIFIED,2025-10-12,2026-01-22
