customer_id,first_name,last_name,email,phone,date_of_birth,country,kyc_status,created_date,last_updated
CUST000001,Barbara,Lopez,barbara.lopez@gmail.com,+1-557-912-7103,1936-02-18,France,REJECTED,2026-12-30,2026-01-22
CUST000002,Lisa,Garcia,lisa.garcia@outlook.com,+1-473-315-3817,1968-03-12,Spain,PENDING,2026-09-18,2026-01-22
CUST000003,Charles,Johnson,charles.johnson@company.com,+1-890-705-7772,1996-12-26,Italy,EXPIRED,2025-12-04,2026-01-22
CUST000004,William,Jones,william.jones@yahoo.com,+1-435-779-3497,1955-04-30,Italy,NOT_STARTED,2026-07-23,2026-01-22
CUST000005,James,Anderson,james.anderson@outlook.com,+1-590-670-7893,1983-03-29,Japan,EXPIRED,2025-04-21,2026-01-22
CUST000006,Sarah,Johnson,sarah.johnson@company.com,+1-785-566-6046,1990-07-02,Germany,EXPIRED,2025-05-18,2026-01-22
CUST000007,Sarah,Garcia,sarah.garcia@yahoo.com,+1-764-941-4088,1988-11-27,Spain,NOT_STARTED,2025-06-07,2026-01-22
CUST000008,John,Lopez,john.lopez@yahoo.com,+1-571-702-8551,1994-10-31,Canada,PENDING,2025-12-29,2026-01-22
CUST000009,James,Thomas,james.thomas@gmail.com,+1-501-583-1815,1967-07-01,Italy,EXPIRED,2026-06-26,2026-01-22
CUST000010,Linda,,linda.johnson@outlook.com,+1-788-301-7894,2001-11-06,Italy,REJECTED,2025-09-17,2026-01-22
CUST000011,William,Jones,william.jones@yahoo.com,+1-346-400-8397,1998-02-02,Spain,EXPIRED,2025-11-05,2026-01-22
CUST000012,Jane,Moore,jane.moore@outlook.com,+1-678-334-3522,1991-01-30,USA,NOT_STARTED,2025-06-09,2026-01-22
CUST000013,Lisa,Gonzalez,lisa.gonzalez@yahoo.com,+1-276-814-7508,1958-09-19,Germany,EXPIRED,2026-02-11,2026-01-22
CUST000014,Mary,Brown,mary.brown@yahoo.com,+1-804-269-8842,1939-11-09,France,EXPIRED,2025-07-10,2026-01-22
CUST000015,Thomas,Brown,thomas.brown@gmail.com,+1-993-598-8074,1984-08-13,Germany,PENDING,2025-06-13,2026-01-22
CUST000016,Patricia,Davis,patricia.davis@outlook.com,+1-256-812-1278,1941-03-28,Spain,VERIFIED,2026-02-19,2026-01-22
CUST000017,Linda,Thomas,linda.thomas@gmail.com,+1-451-843-8182,1973-09-12,USA,EXPIRED,2025-02-12,2026-01-22
CUST000018,Lisa,Johnson,lisa.johnson@company.com,+1-296-248-7547,1964-12-14,Japan,NOT_STARTED,2025-02-13,2026-01-22
CUST000019,Charles,Garcia,charles.garcia@gmail.com,+1-414-916-1983,1985-08-31,Italy,VERIFIED,2025-11-23,2026-01-22
CUST000020,Barbara,Martinez,barbara.martinez@company.com,+1-956-509-3506,1997-09-12,France,REJECTED,2026-06-29,2026-01-22
